title,subtitle,artist,img_link,year
"Christ Pantocrator held by four Angels, Hermitage of Vera Cruz, Maderuelo...",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a3/a331/a331fb54-a6d4-4732-8509-daf462aa92bb/dd5afc00-81d5-4e84-aca4-5377a4722391_268.jpg,1100
"Lower Part of God the Father, Hermitage of Vera Cruz, Maderuelo...",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/c6/c690/c6906e66-1285-4dc9-b203-929966e4354e/0be2f38d-d36b-41b4-ae22-3d749a5f23ec_268.jpg,1100
"Mary Magdalene, Hermitage of Vera Cruz, Maderuelo (Segovia)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/0a/0ad8/0ad8f53d-8249-40b0-9e75-73d59f0ec014/ceb93c89-0476-46dd-88d8-8fc561b965d2_268.jpg,1100
"The Adoration of a Wise Man, Hermitage of Vera Cruz, Maderuelo...",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ee/ee61/ee612310-a1b0-4b21-b40c-52538f31855e/f00efcc2-1cc7-4b24-954b-08a57b2b0da6_268.jpg,1100
"Two Apostles and the Remains of a Third, Hermitage of Vera Cruz...",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/c7/c73c/c73c8574-3607-4efb-90fc-5fc6a888b34b/24187f09-a8b2-4f8a-a2c6-b8291fa0a00b_268.jpg,1100
"Two Apostles, Hermitage of Vera Cruz, Maderuelo (Segovia)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/0c/0cd8/0cd8b144-33ad-4793-a384-40a31d28fab6/c03676de-81b0-4a1c-a094-694a1b15dd66_268.jpg,1100
"Cain or Melchizedek, Hermitage of Vera Cruz, Maderuelo (Segovia)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/80/8063/80637fe6-9592-4afa-a11c-bf4da3e0411f/251bcad3-b63f-4be3-9607-8254338b55d3_268.jpg,1100
"Abel presenting an Offering, Hermitage of Vera Cruz, Maderuelo...",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/85/85ce/85ce4ccb-b34c-40fc-8e3d-4fa044f0e140/7433f88a-aa27-453a-9bce-4927692bef24_268.jpg,1100
"Window Soffit, Hermitage of Vera Cruz, Maderuelo (Segovia)",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/be/bed9/bed9ff9c-1276-4578-b8d3-e38794ee751e/62f57c0a-d0c5-429f-b7c6-dc9550af9da9_268.jpg,1100
"Two Angels and a Holy Archbishop, Hermitage of Vera Cruz, Maderuelo...",Fresco painting on mural transferred to canvas,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/d1/d1df/d1dfbd36-33dc-437b-a147-565ecaff81a8/dca89522-162b-406f-87f6-bb7e8f0f4fe8_268.jpg,1100
