title,subtitle,artist,img_link,year,img_name
The Virgin nursing the Child,Oil on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f2/f27f/f27f30f5-541f-42af-b92e-01d0de395436/da132bdc-283d-4b5b-ac7a-0dac1f9dad15_268.jpg,1400,da132bdc-283d-4b5b-ac7a-0dac1f9dad15_268.jpg
Visio Tondali,Oil on panel,"Bosch, Hieronymus (Copy)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed19/ed19fa42-83e3-443b-96b1-04261634bb14/0561a40c-cca1-4357-a01f-b62801f1183a_268.jpg,1400,0561a40c-cca1-4357-a01f-b62801f1183a_268.jpg
"Isabella of Bourbon, Countess of Charolais",Oil on canvas mounted on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/65/651b/651b51e1-2900-495e-bb8f-76851b44c223/97d59759-a419-4a48-bec3-365f0a5ce4e1_268.jpg,1400,97d59759-a419-4a48-bec3-365f0a5ce4e1_268.jpg
"Charles the Bold, Duke of Burgundy",Oil on canvas mounted on panel,Anonymous,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b9/b978/b9781d82-277a-4c72-bc8e-912448dfce03/f862c0ae-9f3f-48b3-8628-b8628f752485_268.jpg,1400,f862c0ae-9f3f-48b3-8628-b8628f752485_268.jpg
The Temptations of Saint Anthony,Oil on oak panel,"Bosch, Hieronymus (Copy)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c8/c8f1/c8f147bd-a03f-42fa-a569-0f110a54d4ca/d53592e4-b4a8-4ff2-9502-c9ba37fbf65f_268.jpg,1500,d53592e4-b4a8-4ff2-9502-c9ba37fbf65f_268.jpg
The Creation,Oil on panel,"Bosch, Hieronymus (Workshop Of)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b5/b5cb/b5cb7209-0009-4b8f-ab20-d6db0617a9fa/e3e1d8f0-71c0-456d-8abb-8bae30d65aa1_268.jpg,1500,e3e1d8f0-71c0-456d-8abb-8bae30d65aa1_268.jpg
Retable of Saints John the Baptist and Catherine,"Oil, Tempera on panel","Sevilla, Juan de (Author Of The Original Work); Juan Soreda",https://content3.cdnprado.net/imagenes/Documentos/imgsem/4e/4e20/4e201004-f7ea-48b0-a87c-5f08b3e772eb/67d10bd6-aff3-45c9-816f-3dcfd2f14dcf_268.jpg,1412,67d10bd6-aff3-45c9-816f-3dcfd2f14dcf_268.jpg
The Annunciation,Oil on oak panel,"Campin, Robert",https://content3.cdnprado.net/imagenes/Documentos/imgsem/52/52a6/52a6820f-892a-4796-b99e-d631ef17e96a/b7e1c5ba-0ad6-4706-8640-543999b27e9e_268.jpg,1425,b7e1c5ba-0ad6-4706-8640-543999b27e9e_268.jpg
The Betrothal of the Virgin,"Grisaille, Oil on oak panel","Campin, Robert",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f30/6f303c39-3d03-4d48-8bb0-ffe162d017dd/b9ff7e25-3822-4921-88c0-888580c31866_268.jpg,1430,b9ff7e25-3822-4921-88c0-888580c31866_268.jpg
The Descent from the Cross,Oil on panel,"Weyden, Rogier Van Der",https://content3.cdnprado.net/imagenes/Documentos/imgsem/85/856d/856d822a-dd22-4425-bebd-920a1d416aa7/99bd59a4-7933-42cd-9453-fc4a5a0dcea0_268.jpg,1443,99bd59a4-7933-42cd-9453-fc4a5a0dcea0_268.jpg
